"","WW_Name","WW_ID","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","WW_Date"
"24","Jajmau",3125,"River",NA,NA,"Secondary and Higher","Ganga & Pandu Rivers",NA
"25","Jajmau",3126,"River",NA,NA,"Secondary and Higher","Ganga & Pandu Rivers",NA
"26","Jajmau",3127,"River",NA,NA,"Secondary and Higher","Ganga & Pandu Rivers",NA
"27","Untreated Water",3128,"River",NA,NA,"None","Ganga & Pandu Rivers",NA
"28","Daulatganj",3129,"River",NA,NA,"Secondary and Higher","Gomti River",NA
"29","Daulatganj",3130,"River",NA,NA,"Secondary and Higher","Gomti River","2010"
"30","Bharwara",3131,"River",NA,NA,"Secondary and Higher","Gomti River","01/11/13"
"31","Untreated Water",3132,"River",NA,NA,"None","Gomti River",NA
"32","Masani",3133,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"33","Kulu ka Nagla",3134,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"34","None",3135,"River",NA,NA,"None","Ganga River",NA
"35","Saidpur",3136,"River",NA,"140 MLD flows untreated into the Ganga","Secondary and Higher","Ganga River",NA
"36","Beur",3137,"River",NA,NA,"Secondary and Higher","Ganga River",NA
"37","Pahari",3138,"River",NA,NA,"Secondary and Higher","Ganga River",NA
"38","Karmalichak",3139,"River",NA,NA,"Secondary and Higher","Ganga River","Proposed"
"39","Untreated Water",3140,"River",NA,NA,"None","Ganga River",NA
"40","Plant 1 & 2",3141,"River",NA,"Upflow anaerobic sludge blanket","Secondary and Higher","Yamuna",NA
"41","Untreated Water",3142,"River",NA,NA,"Primary","Yamuna",NA
"42","Crowborough",3000,"River",NA,"Low - untreated sewage flows into source of drinking water; Cholera outbreak 2007-8","None","Rivers Marimba and Mukuvisi (drains to Lakes Chivero and Manyame)",NA
"43","Firle",3001,"River",NA,"Low - untreated sewage flows into source of drinking water; Cholera outbreak 2007-8","None","Rivers Marimba and Mukuvisi (drains to Lakes Chivero and Manyame)",NA
"44","Hatcliffe",3002,"River",NA,"Low - untreated sewage flows into source of drinking water; Cholera outbreak 2007-8","None","Rivers Marimba and Mukuvisi (drains to Lakes Chivero and Manyame)",NA
"45","Marlborough",3003,"River",NA,"Low - untreated sewage flows into source of drinking water; Cholera outbreak 2007-8","None","Rivers Marimba and Mukuvisi (drains to Lakes Chivero and Manyame)",NA
"46","Bugolobi",3004,"Lake","0.313452,32.611761 (estimated)","Low - all water treated and untreated goes into N. Channel; only 7% treated","None","Nakivubo Channel - Lake Victoria","1940s"
"47","Cambérène",3005,"Ocean",NA,"Good","Secondary and Higher","Atlantic Ocean",NA
"48","Rufisque",3006,"Ocean",NA,"Poor (?); unclear, but only about 17% of all wastewater is treated in Dakar; all other flows to ocean","Unknown","Atlantic Ocean",NA
"49","Yoff",3007,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"50","Ouakam",3008,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"51","Hann Bel Air",3009,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"52","Thiaroye",3010,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"53","Mbao",3011,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"54","Bargny",3012,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"55","Ngor",3013,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
